ID,When,Commodity,WellType,Alberta,ModifiedDate
345436,06-01-2000 12:00:00 AM,Gas,Exploratory,116,09-24-2021 02:50:43 PM
345437,06-01-2000 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345438,06-01-2000 12:00:00 AM,Oil,Exploratory,29,09-24-2021 02:50:43 PM
345439,06-01-2000 12:00:00 AM,Oil,Development,248,09-24-2021 02:50:43 PM
345440,06-01-2000 12:00:00 AM,Bitumen,Development,100,09-24-2021 02:50:43 PM
345441,06-01-2000 12:00:00 AM,Gas,Development,688,09-24-2021 02:50:43 PM
345442,06-01-2000 12:00:00 AM,Other,Development,13,09-24-2021 02:50:43 PM
345443,06-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345444,07-01-2000 12:00:00 AM,Oil,Exploratory,41,09-24-2021 02:50:43 PM
345445,07-01-2000 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345446,07-01-2000 12:00:00 AM,Oil,Development,226,09-24-2021 02:50:43 PM
345447,07-01-2000 12:00:00 AM,Gas,Development,646,09-24-2021 02:50:43 PM
345448,07-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345449,07-01-2000 12:00:00 AM,Bitumen,Development,69,09-24-2021 02:50:43 PM
345450,07-01-2000 12:00:00 AM,Gas,Exploratory,144,09-24-2021 02:50:43 PM
345451,07-01-2000 12:00:00 AM,Other,Development,10,09-24-2021 02:50:43 PM
345452,08-01-2000 12:00:00 AM,Gas,Exploratory,125,09-24-2021 02:50:43 PM
345453,08-01-2000 12:00:00 AM,Gas,Development,457,09-24-2021 02:50:43 PM
345454,08-01-2000 12:00:00 AM,Oil,Development,245,09-24-2021 02:50:43 PM
345455,08-01-2000 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345456,08-01-2000 12:00:00 AM,Oil,Exploratory,41,09-24-2021 02:50:43 PM
345457,08-01-2000 12:00:00 AM,Other,Exploratory,2,09-24-2021 02:50:43 PM
345458,08-01-2000 12:00:00 AM,Other,Development,5,09-24-2021 02:50:43 PM
345459,08-01-2000 12:00:00 AM,Bitumen,Development,66,09-24-2021 02:50:43 PM
345460,09-01-2000 12:00:00 AM,Bitumen,Development,48,09-24-2021 02:50:43 PM
345461,09-01-2000 12:00:00 AM,Gas,Exploratory,82,09-24-2021 02:50:43 PM
345462,09-01-2000 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345463,09-01-2000 12:00:00 AM,Oil,Exploratory,25,09-24-2021 02:50:43 PM
345464,09-01-2000 12:00:00 AM,Other,Development,1,09-24-2021 02:50:43 PM
345465,09-01-2000 12:00:00 AM,Gas,Development,223,09-24-2021 02:50:43 PM
345466,09-01-2000 12:00:00 AM,Oil,Development,123,09-24-2021 02:50:43 PM
345467,09-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345468,10-01-2000 12:00:00 AM,Gas,Exploratory,114,09-24-2021 02:50:43 PM
345469,10-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345470,10-01-2000 12:00:00 AM,Gas,Development,329,09-24-2021 02:50:43 PM
345471,10-01-2000 12:00:00 AM,Oil,Exploratory,30,09-24-2021 02:50:43 PM
345472,10-01-2000 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345473,10-01-2000 12:00:00 AM,Other,Development,3,09-24-2021 02:50:43 PM
345474,10-01-2000 12:00:00 AM,Oil,Development,159,09-24-2021 02:50:43 PM
345475,10-01-2000 12:00:00 AM,Bitumen,Development,50,09-24-2021 02:50:43 PM
345476,11-01-2000 12:00:00 AM,Other,Development,11,09-24-2021 02:50:43 PM
345477,11-01-2000 12:00:00 AM,Gas,Development,360,09-24-2021 02:50:43 PM
345478,11-01-2000 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345479,11-01-2000 12:00:00 AM,Bitumen,Development,68,09-24-2021 02:50:43 PM
345480,11-01-2000 12:00:00 AM,Gas,Exploratory,191,09-24-2021 02:50:43 PM
345481,11-01-2000 12:00:00 AM,Other,Exploratory,1,09-24-2021 02:50:43 PM
345482,11-01-2000 12:00:00 AM,Oil,Exploratory,35,09-24-2021 02:50:43 PM
345483,11-01-2000 12:00:00 AM,Oil,Development,176,09-24-2021 02:50:43 PM
345484,12-01-2000 12:00:00 AM,Bitumen,Exploratory,2,09-24-2021 02:50:43 PM
345485,12-01-2000 12:00:00 AM,Gas,Development,312,09-24-2021 02:50:43 PM
345486,12-01-2000 12:00:00 AM,Oil,Development,127,09-24-2021 02:50:43 PM
345487,12-01-2000 12:00:00 AM,Other,Development,6,09-24-2021 02:50:43 PM
345488,12-01-2000 12:00:00 AM,Gas,Exploratory,206,09-24-2021 02:50:43 PM
345489,12-01-2000 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345490,12-01-2000 12:00:00 AM,Bitumen,Development,33,09-24-2021 02:50:43 PM
345491,12-01-2000 12:00:00 AM,Oil,Exploratory,53,09-24-2021 02:50:43 PM
345492,01-01-2001 12:00:00 AM,Bitumen,Development,78,09-24-2021 02:50:43 PM
345493,01-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345494,01-01-2001 12:00:00 AM,Oil,Exploratory,47,09-24-2021 02:50:43 PM
345495,01-01-2001 12:00:00 AM,Other,Development,17,09-24-2021 02:50:43 PM
345496,01-01-2001 12:00:00 AM,Gas,Development,747,09-24-2021 02:50:43 PM
345497,01-01-2001 12:00:00 AM,Oil,Development,163,09-24-2021 02:50:43 PM
345498,01-01-2001 12:00:00 AM,Gas,Exploratory,399,09-24-2021 02:50:43 PM
345499,01-01-2001 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345500,02-01-2001 12:00:00 AM,Oil,Development,174,09-24-2021 02:50:43 PM
345501,02-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345502,02-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345503,02-01-2001 12:00:00 AM,Bitumen,Development,61,09-24-2021 02:50:43 PM
345504,02-01-2001 12:00:00 AM,Gas,Development,700,09-24-2021 02:50:43 PM
345505,02-01-2001 12:00:00 AM,Gas,Exploratory,425,09-24-2021 02:50:43 PM
345506,02-01-2001 12:00:00 AM,Other,Development,24,09-24-2021 02:50:43 PM
345507,02-01-2001 12:00:00 AM,Oil,Exploratory,27,09-24-2021 02:50:43 PM
345508,03-01-2001 12:00:00 AM,Bitumen,Development,102,09-24-2021 02:50:43 PM
345509,03-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345510,03-01-2001 12:00:00 AM,Oil,Exploratory,58,09-24-2021 02:50:43 PM
345511,03-01-2001 12:00:00 AM,Other,Development,31,09-24-2021 02:50:43 PM
345512,03-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345513,03-01-2001 12:00:00 AM,Gas,Development,502,09-24-2021 02:50:43 PM
345514,03-01-2001 12:00:00 AM,Gas,Exploratory,340,09-24-2021 02:50:43 PM
345515,03-01-2001 12:00:00 AM,Oil,Development,200,09-24-2021 02:50:43 PM
345516,04-01-2001 12:00:00 AM,Oil,Development,105,09-24-2021 02:50:43 PM
345517,04-01-2001 12:00:00 AM,Oil,Exploratory,27,09-24-2021 02:50:43 PM
345518,04-01-2001 12:00:00 AM,Other,Development,10,09-24-2021 02:50:43 PM
345519,04-01-2001 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345520,04-01-2001 12:00:00 AM,Bitumen,Development,74,09-24-2021 02:50:43 PM
345521,04-01-2001 12:00:00 AM,Other,Exploratory,1,09-24-2021 02:50:43 PM
345522,04-01-2001 12:00:00 AM,Gas,Development,578,09-24-2021 02:50:43 PM
345523,04-01-2001 12:00:00 AM,Gas,Exploratory,133,09-24-2021 02:50:43 PM
345524,05-01-2001 12:00:00 AM,Bitumen,Development,81,09-24-2021 02:50:43 PM
345525,05-01-2001 12:00:00 AM,Gas,Exploratory,202,09-24-2021 02:50:43 PM
345526,05-01-2001 12:00:00 AM,Oil,Exploratory,26,09-24-2021 02:50:43 PM
345527,05-01-2001 12:00:00 AM,Gas,Development,717,09-24-2021 02:50:43 PM
345528,05-01-2001 12:00:00 AM,Oil,Development,122,09-24-2021 02:50:43 PM
345529,05-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345530,05-01-2001 12:00:00 AM,Other,Development,15,09-24-2021 02:50:43 PM
345531,05-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345532,06-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345533,06-01-2001 12:00:00 AM,Oil,Exploratory,33,09-24-2021 02:50:43 PM
345534,06-01-2001 12:00:00 AM,Gas,Development,601,09-24-2021 02:50:43 PM
345535,06-01-2001 12:00:00 AM,Other,Development,13,09-24-2021 02:50:43 PM
345536,06-01-2001 12:00:00 AM,Gas,Exploratory,202,09-24-2021 02:50:43 PM
345537,06-01-2001 12:00:00 AM,Bitumen,Development,65,09-24-2021 02:50:43 PM
345538,06-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345539,06-01-2001 12:00:00 AM,Oil,Development,177,09-24-2021 02:50:43 PM
345540,07-01-2001 12:00:00 AM,Gas,Exploratory,190,09-24-2021 02:50:43 PM
345541,07-01-2001 12:00:00 AM,Bitumen,Development,83,09-24-2021 02:50:43 PM
345542,07-01-2001 12:00:00 AM,Gas,Development,583,09-24-2021 02:50:43 PM
345543,07-01-2001 12:00:00 AM,Other,Exploratory,1,09-24-2021 02:50:43 PM
345544,07-01-2001 12:00:00 AM,Other,Development,14,09-24-2021 02:50:43 PM
345545,07-01-2001 12:00:00 AM,Oil,Development,173,09-24-2021 02:50:43 PM
345546,07-01-2001 12:00:00 AM,Oil,Exploratory,32,09-24-2021 02:50:43 PM
345547,07-01-2001 12:00:00 AM,Bitumen,Exploratory,5,09-24-2021 02:50:43 PM
345548,08-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345549,08-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345550,08-01-2001 12:00:00 AM,Bitumen,Development,63,09-24-2021 02:50:43 PM
345551,08-01-2001 12:00:00 AM,Oil,Development,157,09-24-2021 02:50:43 PM
345552,08-01-2001 12:00:00 AM,Gas,Exploratory,198,09-24-2021 02:50:43 PM
345553,08-01-2001 12:00:00 AM,Gas,Development,670,09-24-2021 02:50:43 PM
345554,08-01-2001 12:00:00 AM,Other,Development,10,09-24-2021 02:50:43 PM
345555,08-01-2001 12:00:00 AM,Oil,Exploratory,40,09-24-2021 02:50:43 PM
345556,09-01-2001 12:00:00 AM,Other,Development,6,09-24-2021 02:50:43 PM
345557,09-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345558,09-01-2001 12:00:00 AM,Bitumen,Development,77,09-24-2021 02:50:43 PM
345559,09-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345560,09-01-2001 12:00:00 AM,Oil,Development,154,09-24-2021 02:50:43 PM
345561,09-01-2001 12:00:00 AM,Oil,Exploratory,29,09-24-2021 02:50:43 PM
345562,09-01-2001 12:00:00 AM,Gas,Development,429,09-24-2021 02:50:43 PM
345563,09-01-2001 12:00:00 AM,Gas,Exploratory,175,09-24-2021 02:50:43 PM
345564,10-01-2001 12:00:00 AM,Gas,Exploratory,168,09-24-2021 02:50:43 PM
345565,10-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345566,10-01-2001 12:00:00 AM,Bitumen,Development,66,09-24-2021 02:50:43 PM
345567,10-01-2001 12:00:00 AM,Other,Development,9,09-24-2021 02:50:43 PM
345568,10-01-2001 12:00:00 AM,Oil,Development,120,09-24-2021 02:50:43 PM
345569,10-01-2001 12:00:00 AM,Gas,Development,506,09-24-2021 02:50:43 PM
345570,10-01-2001 12:00:00 AM,Oil,Exploratory,36,09-24-2021 02:50:43 PM
345571,10-01-2001 12:00:00 AM,Other,Exploratory,3,09-24-2021 02:50:43 PM
345572,11-01-2001 12:00:00 AM,Other,Development,4,09-24-2021 02:50:43 PM
345573,11-01-2001 12:00:00 AM,Oil,Development,97,09-24-2021 02:50:43 PM
345574,11-01-2001 12:00:00 AM,Bitumen,Development,49,09-24-2021 02:50:43 PM
345575,11-01-2001 12:00:00 AM,Gas,Development,612,09-24-2021 02:50:43 PM
345576,11-01-2001 12:00:00 AM,Gas,Exploratory,141,09-24-2021 02:50:43 PM
345577,11-01-2001 12:00:00 AM,Other,Exploratory,4,09-24-2021 02:50:43 PM
345578,11-01-2001 12:00:00 AM,Oil,Exploratory,30,09-24-2021 02:50:43 PM
345579,11-01-2001 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345580,12-01-2001 12:00:00 AM,Bitumen,Development,19,09-24-2021 02:50:43 PM
345581,12-01-2001 12:00:00 AM,Gas,Exploratory,154,09-24-2021 02:50:43 PM
345582,12-01-2001 12:00:00 AM,Gas,Development,442,09-24-2021 02:50:43 PM
345583,12-01-2001 12:00:00 AM,Oil,Exploratory,33,09-24-2021 02:50:43 PM
345584,12-01-2001 12:00:00 AM,Oil,Development,51,09-24-2021 02:50:43 PM
345585,12-01-2001 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345586,12-01-2001 12:00:00 AM,Other,Development,5,09-24-2021 02:50:43 PM
345587,12-01-2001 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345588,01-01-2002 12:00:00 AM,Oil,Development,88,09-24-2021 02:50:43 PM
345589,01-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345590,01-01-2002 12:00:00 AM,Gas,Development,665,09-24-2021 02:50:43 PM
345591,01-01-2002 12:00:00 AM,Gas,Exploratory,357,09-24-2021 02:50:43 PM
345592,01-01-2002 12:00:00 AM,Other,Development,7,09-24-2021 02:50:43 PM
345593,01-01-2002 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345594,01-01-2002 12:00:00 AM,Oil,Exploratory,42,09-24-2021 02:50:43 PM
345595,01-01-2002 12:00:00 AM,Bitumen,Development,63,09-24-2021 02:50:43 PM
345596,02-01-2002 12:00:00 AM,Gas,Exploratory,357,09-24-2021 02:50:43 PM
345597,02-01-2002 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345598,02-01-2002 12:00:00 AM,Bitumen,Development,60,09-24-2021 02:50:43 PM
345599,02-01-2002 12:00:00 AM,Other,Development,9,09-24-2021 02:50:43 PM
345600,02-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345601,02-01-2002 12:00:00 AM,Oil,Development,141,09-24-2021 02:50:43 PM
345602,02-01-2002 12:00:00 AM,Gas,Development,508,09-24-2021 02:50:43 PM
345603,02-01-2002 12:00:00 AM,Oil,Exploratory,35,09-24-2021 02:50:43 PM
345604,03-01-2002 12:00:00 AM,Oil,Development,93,09-24-2021 02:50:43 PM
345605,03-01-2002 12:00:00 AM,Oil,Exploratory,44,09-24-2021 02:50:43 PM
345606,03-01-2002 12:00:00 AM,Bitumen,Development,89,09-24-2021 02:50:43 PM
345607,03-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345608,03-01-2002 12:00:00 AM,Gas,Exploratory,246,09-24-2021 02:50:43 PM
345609,03-01-2002 12:00:00 AM,Other,Development,10,09-24-2021 02:50:43 PM
345610,03-01-2002 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345611,03-01-2002 12:00:00 AM,Gas,Development,628,09-24-2021 02:50:43 PM
345612,04-01-2002 12:00:00 AM,Gas,Development,151,09-24-2021 02:50:43 PM
345613,04-01-2002 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345614,04-01-2002 12:00:00 AM,Oil,Exploratory,13,09-24-2021 02:50:43 PM
345615,04-01-2002 12:00:00 AM,Oil,Development,66,09-24-2021 02:50:43 PM
345616,04-01-2002 12:00:00 AM,Bitumen,Development,82,09-24-2021 02:50:43 PM
345617,04-01-2002 12:00:00 AM,Gas,Exploratory,57,09-24-2021 02:50:43 PM
345618,04-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345619,04-01-2002 12:00:00 AM,Other,Development,2,09-24-2021 02:50:43 PM
345620,05-01-2002 12:00:00 AM,Oil,Development,69,09-24-2021 02:50:43 PM
345621,05-01-2002 12:00:00 AM,Oil,Exploratory,9,09-24-2021 02:50:43 PM
345622,05-01-2002 12:00:00 AM,Other,Development,1,09-24-2021 02:50:43 PM
345623,05-01-2002 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345624,05-01-2002 12:00:00 AM,Bitumen,Development,122,09-24-2021 02:50:43 PM
345625,05-01-2002 12:00:00 AM,Gas,Development,358,09-24-2021 02:50:43 PM
345626,05-01-2002 12:00:00 AM,Other,Exploratory,1,09-24-2021 02:50:43 PM
345627,05-01-2002 12:00:00 AM,Gas,Exploratory,91,09-24-2021 02:50:43 PM
345628,06-01-2002 12:00:00 AM,Oil,Exploratory,31,09-24-2021 02:50:43 PM
345629,06-01-2002 12:00:00 AM,Gas,Exploratory,167,09-24-2021 02:50:43 PM
345630,06-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345631,06-01-2002 12:00:00 AM,Bitumen,Development,150,09-24-2021 02:50:43 PM
345632,06-01-2002 12:00:00 AM,Oil,Development,138,09-24-2021 02:50:43 PM
345633,06-01-2002 12:00:00 AM,Bitumen,Exploratory,1,09-24-2021 02:50:43 PM
345634,06-01-2002 12:00:00 AM,Other,Development,3,09-24-2021 02:50:43 PM
345635,06-01-2002 12:00:00 AM,Gas,Development,427,09-24-2021 02:50:43 PM
345636,07-01-2002 12:00:00 AM,Other,Exploratory,1,09-24-2021 02:50:43 PM
345637,07-01-2002 12:00:00 AM,Bitumen,Development,128,09-24-2021 02:50:43 PM
345638,07-01-2002 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345639,07-01-2002 12:00:00 AM,Oil,Development,162,09-24-2021 02:50:43 PM
345640,07-01-2002 12:00:00 AM,Gas,Development,555,09-24-2021 02:50:43 PM
345641,07-01-2002 12:00:00 AM,Other,Development,1,09-24-2021 02:50:43 PM
345642,07-01-2002 12:00:00 AM,Oil,Exploratory,29,09-24-2021 02:50:43 PM
345643,07-01-2002 12:00:00 AM,Gas,Exploratory,172,09-24-2021 02:50:43 PM
345644,08-01-2002 12:00:00 AM,Oil,Development,121,09-24-2021 02:50:43 PM
345645,08-01-2002 12:00:00 AM,Gas,Development,394,09-24-2021 02:50:43 PM
345646,08-01-2002 12:00:00 AM,Bitumen,Development,96,09-24-2021 02:50:43 PM
345647,08-01-2002 12:00:00 AM,Gas,Exploratory,147,09-24-2021 02:50:43 PM
345648,08-01-2002 12:00:00 AM,Oil,Exploratory,23,09-24-2021 02:50:43 PM
345649,08-01-2002 12:00:00 AM,Bitumen,Exploratory,0,09-24-2021 02:50:43 PM
345650,08-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345651,08-01-2002 12:00:00 AM,Other,Development,5,09-24-2021 02:50:43 PM
345652,09-01-2002 12:00:00 AM,Other,Exploratory,0,09-24-2021 02:50:43 PM
345653,09-01-2002 12:00:00 AM,Other,Development,7,09-24-2021 02:50:43 PM
345654,09-01-2002 12:00:00 AM,Oil,Development,90,09-24-2021 02:50:43 PM
345655,09-01-2002 12:00:00 AM,Gas,Exploratory,140,09-24-2021 02:50:43 PM
