Id,When,Type,Unit,Alberta,ModifiedDate
172064,7/1/1988 12:00:00 AM,WTI,$US/bbl,15.51,9/23/2021 3:36:40 PM
172065,8/1/1988 12:00:00 AM,WTI,$US/bbl,15.53,9/23/2021 3:36:40 PM
172066,9/1/1988 12:00:00 AM,WTI,$US/bbl,14.46,9/23/2021 3:36:40 PM
172067,10/1/1988 12:00:00 AM,WTI,$US/bbl,13.8,9/23/2021 3:36:40 PM
172068,11/1/1988 12:00:00 AM,WTI,$US/bbl,13.98,9/23/2021 3:36:40 PM
172069,12/1/1988 12:00:00 AM,WTI,$US/bbl,16.28,9/23/2021 3:36:40 PM
172070,1/1/1989 12:00:00 AM,WTI,$US/bbl,17.98,9/23/2021 3:36:40 PM
172071,2/1/1989 12:00:00 AM,WTI,$US/bbl,17.82,9/23/2021 3:36:40 PM
172072,3/1/1989 12:00:00 AM,WTI,$US/bbl,19.44,9/23/2021 3:36:40 PM
172073,4/1/1989 12:00:00 AM,WTI,$US/bbl,20.94,9/23/2021 3:36:40 PM
172074,5/1/1989 12:00:00 AM,WTI,$US/bbl,20.03,9/23/2021 3:36:40 PM
172075,6/1/1989 12:00:00 AM,WTI,$US/bbl,19.99,9/23/2021 3:36:40 PM
172076,7/1/1989 12:00:00 AM,WTI,$US/bbl,19.66,9/23/2021 3:36:40 PM
172077,8/1/1989 12:00:00 AM,WTI,$US/bbl,18.55,9/23/2021 3:36:40 PM
172078,9/1/1989 12:00:00 AM,WTI,$US/bbl,19.59,9/23/2021 3:36:40 PM
172079,10/1/1989 12:00:00 AM,WTI,$US/bbl,20.1,9/23/2021 3:36:40 PM
172080,11/1/1989 12:00:00 AM,WTI,$US/bbl,19.83,9/23/2021 3:36:40 PM
172081,12/1/1989 12:00:00 AM,WTI,$US/bbl,21.09,9/23/2021 3:36:40 PM
172082,1/1/1990 12:00:00 AM,WTI,$US/bbl,22.64,9/23/2021 3:36:40 PM
172083,2/1/1990 12:00:00 AM,WTI,$US/bbl,22.11,9/23/2021 3:36:40 PM
172084,3/1/1990 12:00:00 AM,WTI,$US/bbl,20.41,9/23/2021 3:36:40 PM
172085,4/1/1990 12:00:00 AM,WTI,$US/bbl,18.58,9/23/2021 3:36:40 PM
172086,5/1/1990 12:00:00 AM,WTI,$US/bbl,18.46,9/23/2021 3:36:40 PM
172087,6/1/1990 12:00:00 AM,WTI,$US/bbl,16.86,9/23/2021 3:36:40 PM
172088,7/1/1990 12:00:00 AM,WTI,$US/bbl,18.64,9/23/2021 3:36:40 PM
172089,8/1/1990 12:00:00 AM,WTI,$US/bbl,27.18,9/23/2021 3:36:40 PM
172090,9/1/1990 12:00:00 AM,WTI,$US/bbl,33.69,9/23/2021 3:36:40 PM
172091,10/1/1990 12:00:00 AM,WTI,$US/bbl,35.92,9/23/2021 3:36:40 PM
172092,11/1/1990 12:00:00 AM,WTI,$US/bbl,32.3,9/23/2021 3:36:40 PM
172093,12/1/1990 12:00:00 AM,WTI,$US/bbl,27.16,9/23/2021 3:36:40 PM
172094,1/1/1991 12:00:00 AM,WTI,$US/bbl,24.7,9/23/2021 3:36:40 PM
172095,2/1/1991 12:00:00 AM,WTI,$US/bbl,20.54,9/23/2021 3:36:40 PM
172096,3/1/1991 12:00:00 AM,WTI,$US/bbl,19.88,9/23/2021 3:36:40 PM
172097,4/1/1991 12:00:00 AM,WTI,$US/bbl,20.82,9/23/2021 3:36:40 PM
172098,5/1/1991 12:00:00 AM,WTI,$US/bbl,21.25,9/23/2021 3:36:40 PM
172099,6/1/1991 12:00:00 AM,WTI,$US/bbl,20.2,9/23/2021 3:36:40 PM
172100,7/1/1991 12:00:00 AM,WTI,$US/bbl,21.43,9/23/2021 3:36:40 PM
172101,8/1/1991 12:00:00 AM,WTI,$US/bbl,21.68,9/23/2021 3:36:40 PM
172102,9/1/1991 12:00:00 AM,WTI,$US/bbl,21.86,9/23/2021 3:36:40 PM
172103,10/1/1991 12:00:00 AM,WTI,$US/bbl,23.23,9/23/2021 3:36:40 PM
172104,11/1/1991 12:00:00 AM,WTI,$US/bbl,22.43,9/23/2021 3:36:40 PM
172105,12/1/1991 12:00:00 AM,WTI,$US/bbl,19.53,9/23/2021 3:36:40 PM
172106,1/1/1992 12:00:00 AM,WTI,$US/bbl,18.82,9/23/2021 3:36:40 PM
172107,2/1/1992 12:00:00 AM,WTI,$US/bbl,19.01,9/23/2021 3:36:40 PM
172108,3/1/1992 12:00:00 AM,WTI,$US/bbl,18.95,9/23/2021 3:36:40 PM
172109,4/1/1992 12:00:00 AM,WTI,$US/bbl,20.26,9/23/2021 3:36:40 PM
172110,5/1/1992 12:00:00 AM,WTI,$US/bbl,21,9/23/2021 3:36:40 PM
172111,6/1/1992 12:00:00 AM,WTI,$US/bbl,22.36,9/23/2021 3:36:40 PM
172112,7/1/1992 12:00:00 AM,WTI,$US/bbl,21.74,9/23/2021 3:36:40 PM
172113,8/1/1992 12:00:00 AM,WTI,$US/bbl,21.29,9/23/2021 3:36:40 PM
172114,9/1/1992 12:00:00 AM,WTI,$US/bbl,21.92,9/23/2021 3:36:40 PM
172115,10/1/1992 12:00:00 AM,WTI,$US/bbl,21.71,9/23/2021 3:36:40 PM
172116,11/1/1992 12:00:00 AM,WTI,$US/bbl,20.36,9/23/2021 3:36:40 PM
172117,12/1/1992 12:00:00 AM,WTI,$US/bbl,19.41,9/23/2021 3:36:40 PM
172118,1/1/1993 12:00:00 AM,WTI,$US/bbl,19.07,9/23/2021 3:36:40 PM
172119,2/1/1993 12:00:00 AM,WTI,$US/bbl,20.08,9/23/2021 3:36:40 PM
172120,3/1/1993 12:00:00 AM,WTI,$US/bbl,20.35,9/23/2021 3:36:40 PM
172121,4/1/1993 12:00:00 AM,WTI,$US/bbl,20.33,9/23/2021 3:36:40 PM
172122,5/1/1993 12:00:00 AM,WTI,$US/bbl,19.98,9/23/2021 3:36:40 PM
172123,6/1/1993 12:00:00 AM,WTI,$US/bbl,19.13,9/23/2021 3:36:40 PM
172124,7/1/1993 12:00:00 AM,WTI,$US/bbl,17.9,9/23/2021 3:36:40 PM
172125,8/1/1993 12:00:00 AM,WTI,$US/bbl,18.01,9/23/2021 3:36:40 PM
