ID,When,Type,Unit,Alberta,ModifiedDate
172064,07-01-1988 12:00:00 AM,WTI,$US/bbl,15.51,09-23-2021 03:36:41 PM
172065,08-01-1988 12:00:00 AM,WTI,$US/bbl,15.53,09-23-2021 03:36:41 PM
172066,09-01-1988 12:00:00 AM,WTI,$US/bbl,14.46,09-23-2021 03:36:41 PM
172067,10-01-1988 12:00:00 AM,WTI,$US/bbl,13.8,09-23-2021 03:36:41 PM
172068,11-01-1988 12:00:00 AM,WTI,$US/bbl,13.98,09-23-2021 03:36:41 PM
172069,12-01-1988 12:00:00 AM,WTI,$US/bbl,16.28,09-23-2021 03:36:41 PM
172070,01-01-1989 12:00:00 AM,WTI,$US/bbl,17.98,09-23-2021 03:36:41 PM
172071,02-01-1989 12:00:00 AM,WTI,$US/bbl,17.82,09-23-2021 03:36:41 PM
172072,03-01-1989 12:00:00 AM,WTI,$US/bbl,19.44,09-23-2021 03:36:41 PM
172073,04-01-1989 12:00:00 AM,WTI,$US/bbl,20.94,09-23-2021 03:36:41 PM
172074,05-01-1989 12:00:00 AM,WTI,$US/bbl,20.03,09-23-2021 03:36:41 PM
172075,06-01-1989 12:00:00 AM,WTI,$US/bbl,19.99,09-23-2021 03:36:41 PM
172076,07-01-1989 12:00:00 AM,WTI,$US/bbl,19.66,09-23-2021 03:36:41 PM
172077,08-01-1989 12:00:00 AM,WTI,$US/bbl,18.55,09-23-2021 03:36:41 PM
172078,09-01-1989 12:00:00 AM,WTI,$US/bbl,19.59,09-23-2021 03:36:41 PM
172079,10-01-1989 12:00:00 AM,WTI,$US/bbl,20.1,09-23-2021 03:36:41 PM
172080,11-01-1989 12:00:00 AM,WTI,$US/bbl,19.83,09-23-2021 03:36:41 PM
172081,12-01-1989 12:00:00 AM,WTI,$US/bbl,21.09,09-23-2021 03:36:41 PM
172082,01-01-1990 12:00:00 AM,WTI,$US/bbl,22.64,09-23-2021 03:36:41 PM
172083,02-01-1990 12:00:00 AM,WTI,$US/bbl,22.11,09-23-2021 03:36:41 PM
172084,03-01-1990 12:00:00 AM,WTI,$US/bbl,20.41,09-23-2021 03:36:41 PM
172085,04-01-1990 12:00:00 AM,WTI,$US/bbl,18.58,09-23-2021 03:36:41 PM
172086,05-01-1990 12:00:00 AM,WTI,$US/bbl,18.46,09-23-2021 03:36:41 PM
172087,06-01-1990 12:00:00 AM,WTI,$US/bbl,16.86,09-23-2021 03:36:41 PM
172088,07-01-1990 12:00:00 AM,WTI,$US/bbl,18.64,09-23-2021 03:36:41 PM
172089,08-01-1990 12:00:00 AM,WTI,$US/bbl,27.18,09-23-2021 03:36:41 PM
172090,09-01-1990 12:00:00 AM,WTI,$US/bbl,33.69,09-23-2021 03:36:41 PM
172091,10-01-1990 12:00:00 AM,WTI,$US/bbl,35.92,09-23-2021 03:36:41 PM
172092,11-01-1990 12:00:00 AM,WTI,$US/bbl,32.3,09-23-2021 03:36:41 PM
172093,12-01-1990 12:00:00 AM,WTI,$US/bbl,27.16,09-23-2021 03:36:41 PM
172094,01-01-1991 12:00:00 AM,WTI,$US/bbl,24.7,09-23-2021 03:36:41 PM
172095,02-01-1991 12:00:00 AM,WTI,$US/bbl,20.54,09-23-2021 03:36:41 PM
