ID,When,Type,Unit,Alberta,ModifiedDate
152346,07-01-1988 12:00:00 AM,WTI,$US/bbl,15.51,09-17-2021 09:42:06 AM
152347,08-01-1988 12:00:00 AM,WTI,$US/bbl,15.53,09-17-2021 09:42:06 AM
152348,09-01-1988 12:00:00 AM,WTI,$US/bbl,14.46,09-17-2021 09:42:06 AM
152349,10-01-1988 12:00:00 AM,WTI,$US/bbl,13.8,09-17-2021 09:42:06 AM
152350,11-01-1988 12:00:00 AM,WTI,$US/bbl,13.98,09-17-2021 09:42:06 AM
152351,12-01-1988 12:00:00 AM,WTI,$US/bbl,16.28,09-17-2021 09:42:06 AM
152352,01-01-1989 12:00:00 AM,WTI,$US/bbl,17.98,09-17-2021 09:42:06 AM
152353,02-01-1989 12:00:00 AM,WTI,$US/bbl,17.82,09-17-2021 09:42:06 AM
152354,03-01-1989 12:00:00 AM,WTI,$US/bbl,19.44,09-17-2021 09:42:06 AM
152355,04-01-1989 12:00:00 AM,WTI,$US/bbl,20.94,09-17-2021 09:42:06 AM
152356,05-01-1989 12:00:00 AM,WTI,$US/bbl,20.03,09-17-2021 09:42:06 AM
152357,06-01-1989 12:00:00 AM,WTI,$US/bbl,19.99,09-17-2021 09:42:06 AM
152358,07-01-1989 12:00:00 AM,WTI,$US/bbl,19.66,09-17-2021 09:42:06 AM
152359,08-01-1989 12:00:00 AM,WTI,$US/bbl,18.55,09-17-2021 09:42:06 AM
152360,09-01-1989 12:00:00 AM,WTI,$US/bbl,19.59,09-17-2021 09:42:06 AM
152361,10-01-1989 12:00:00 AM,WTI,$US/bbl,20.1,09-17-2021 09:42:06 AM
152362,11-01-1989 12:00:00 AM,WTI,$US/bbl,19.83,09-17-2021 09:42:06 AM
152363,12-01-1989 12:00:00 AM,WTI,$US/bbl,21.09,09-17-2021 09:42:06 AM
152364,01-01-1990 12:00:00 AM,WTI,$US/bbl,22.64,09-17-2021 09:42:06 AM
152365,02-01-1990 12:00:00 AM,WTI,$US/bbl,22.11,09-17-2021 09:42:06 AM
152366,03-01-1990 12:00:00 AM,WTI,$US/bbl,20.41,09-17-2021 09:42:06 AM
152367,04-01-1990 12:00:00 AM,WTI,$US/bbl,18.58,09-17-2021 09:42:06 AM
152368,05-01-1990 12:00:00 AM,WTI,$US/bbl,18.46,09-17-2021 09:42:06 AM
152369,06-01-1990 12:00:00 AM,WTI,$US/bbl,16.86,09-17-2021 09:42:06 AM
152370,07-01-1990 12:00:00 AM,WTI,$US/bbl,18.64,09-17-2021 09:42:06 AM
152371,08-01-1990 12:00:00 AM,WTI,$US/bbl,27.18,09-17-2021 09:42:06 AM
152372,09-01-1990 12:00:00 AM,WTI,$US/bbl,33.69,09-17-2021 09:42:06 AM
152373,10-01-1990 12:00:00 AM,WTI,$US/bbl,35.92,09-17-2021 09:42:06 AM
152374,11-01-1990 12:00:00 AM,WTI,$US/bbl,32.3,09-17-2021 09:42:06 AM
152375,12-01-1990 12:00:00 AM,WTI,$US/bbl,27.16,09-17-2021 09:42:06 AM
152376,01-01-1991 12:00:00 AM,WTI,$US/bbl,24.7,09-17-2021 09:42:06 AM
152377,02-01-1991 12:00:00 AM,WTI,$US/bbl,20.54,09-17-2021 09:42:06 AM
152378,03-01-1991 12:00:00 AM,WTI,$US/bbl,19.88,09-17-2021 09:42:06 AM
152379,04-01-1991 12:00:00 AM,WTI,$US/bbl,20.82,09-17-2021 09:42:06 AM
152380,05-01-1991 12:00:00 AM,WTI,$US/bbl,21.25,09-17-2021 09:42:06 AM
152381,06-01-1991 12:00:00 AM,WTI,$US/bbl,20.2,09-17-2021 09:42:06 AM
152382,07-01-1991 12:00:00 AM,WTI,$US/bbl,21.43,09-17-2021 09:42:06 AM
152383,08-01-1991 12:00:00 AM,WTI,$US/bbl,21.68,09-17-2021 09:42:06 AM
152384,09-01-1991 12:00:00 AM,WTI,$US/bbl,21.86,09-17-2021 09:42:06 AM
152385,10-01-1991 12:00:00 AM,WTI,$US/bbl,23.23,09-17-2021 09:42:06 AM
152386,11-01-1991 12:00:00 AM,WTI,$US/bbl,22.43,09-17-2021 09:42:06 AM
152387,12-01-1991 12:00:00 AM,WTI,$US/bbl,19.53,09-17-2021 09:42:06 AM
152388,01-01-1992 12:00:00 AM,WTI,$US/bbl,18.82,09-17-2021 09:42:06 AM
152389,02-01-1992 12:00:00 AM,WTI,$US/bbl,19.01,09-17-2021 09:42:06 AM
152390,03-01-1992 12:00:00 AM,WTI,$US/bbl,18.95,09-17-2021 09:42:06 AM
152391,04-01-1992 12:00:00 AM,WTI,$US/bbl,20.26,09-17-2021 09:42:06 AM
152392,05-01-1992 12:00:00 AM,WTI,$US/bbl,21,09-17-2021 09:42:06 AM
152393,06-01-1992 12:00:00 AM,WTI,$US/bbl,22.36,09-17-2021 09:42:06 AM
152394,07-01-1992 12:00:00 AM,WTI,$US/bbl,21.74,09-17-2021 09:42:06 AM
152395,08-01-1992 12:00:00 AM,WTI,$US/bbl,21.29,09-17-2021 09:42:06 AM
152396,09-01-1992 12:00:00 AM,WTI,$US/bbl,21.92,09-17-2021 09:42:06 AM
152397,10-01-1992 12:00:00 AM,WTI,$US/bbl,21.71,09-17-2021 09:42:06 AM
152398,11-01-1992 12:00:00 AM,WTI,$US/bbl,20.36,09-17-2021 09:42:06 AM
152399,12-01-1992 12:00:00 AM,WTI,$US/bbl,19.41,09-17-2021 09:42:06 AM
152400,01-01-1993 12:00:00 AM,WTI,$US/bbl,19.07,09-17-2021 09:42:06 AM
152401,02-01-1993 12:00:00 AM,WTI,$US/bbl,20.08,09-17-2021 09:42:06 AM
152402,03-01-1993 12:00:00 AM,WTI,$US/bbl,20.35,09-17-2021 09:42:06 AM
152403,04-01-1993 12:00:00 AM,WTI,$US/bbl,20.33,09-17-2021 09:42:06 AM
152404,05-01-1993 12:00:00 AM,WTI,$US/bbl,19.98,09-17-2021 09:42:06 AM
152405,06-01-1993 12:00:00 AM,WTI,$US/bbl,19.13,09-17-2021 09:42:06 AM
152406,07-01-1993 12:00:00 AM,WTI,$US/bbl,17.9,09-17-2021 09:42:06 AM
152407,08-01-1993 12:00:00 AM,WTI,$US/bbl,18.01,09-17-2021 09:42:06 AM
152408,09-01-1993 12:00:00 AM,WTI,$US/bbl,17.52,09-17-2021 09:42:06 AM
152409,10-01-1993 12:00:00 AM,WTI,$US/bbl,18.17,09-17-2021 09:42:06 AM
152410,11-01-1993 12:00:00 AM,WTI,$US/bbl,16.74,09-17-2021 09:42:06 AM
152411,12-01-1993 12:00:00 AM,WTI,$US/bbl,14.53,09-17-2021 09:42:06 AM
152412,01-01-1994 12:00:00 AM,WTI,$US/bbl,15.02,09-17-2021 09:42:06 AM
152413,02-01-1994 12:00:00 AM,WTI,$US/bbl,14.78,09-17-2021 09:42:06 AM
152414,03-01-1994 12:00:00 AM,WTI,$US/bbl,14.65,09-17-2021 09:42:06 AM
152415,04-01-1994 12:00:00 AM,WTI,$US/bbl,16.33,09-17-2021 09:42:06 AM
152416,05-01-1994 12:00:00 AM,WTI,$US/bbl,17.83,09-17-2021 09:42:06 AM
152417,06-01-1994 12:00:00 AM,WTI,$US/bbl,19.07,09-17-2021 09:42:06 AM
152418,07-01-1994 12:00:00 AM,WTI,$US/bbl,19.66,09-17-2021 09:42:06 AM
152419,08-01-1994 12:00:00 AM,WTI,$US/bbl,18.38,09-17-2021 09:42:06 AM
152420,09-01-1994 12:00:00 AM,WTI,$US/bbl,17.47,09-17-2021 09:42:06 AM
152421,10-01-1994 12:00:00 AM,WTI,$US/bbl,17.71,09-17-2021 09:42:06 AM
152422,11-01-1994 12:00:00 AM,WTI,$US/bbl,18.1,09-17-2021 09:42:06 AM
152423,12-01-1994 12:00:00 AM,WTI,$US/bbl,17.16,09-17-2021 09:42:06 AM
152424,01-01-1995 12:00:00 AM,WTI,$US/bbl,17.99,09-17-2021 09:42:06 AM
152425,02-01-1995 12:00:00 AM,WTI,$US/bbl,18.53,09-17-2021 09:42:06 AM
152426,03-01-1995 12:00:00 AM,WTI,$US/bbl,18.55,09-17-2021 09:42:06 AM
152427,04-01-1995 12:00:00 AM,WTI,$US/bbl,19.89,09-17-2021 09:42:06 AM
152428,05-01-1995 12:00:00 AM,WTI,$US/bbl,19.74,09-17-2021 09:42:06 AM
152429,06-01-1995 12:00:00 AM,WTI,$US/bbl,18.4,09-17-2021 09:42:06 AM
152430,07-01-1995 12:00:00 AM,WTI,$US/bbl,17.26,09-17-2021 09:42:06 AM
152431,08-01-1995 12:00:00 AM,WTI,$US/bbl,17.81,09-17-2021 09:42:06 AM
152432,09-01-1995 12:00:00 AM,WTI,$US/bbl,18.21,09-17-2021 09:42:06 AM
152433,10-01-1995 12:00:00 AM,WTI,$US/bbl,17.4,09-17-2021 09:42:06 AM
152434,11-01-1995 12:00:00 AM,WTI,$US/bbl,18,09-17-2021 09:42:06 AM
152435,12-01-1995 12:00:00 AM,WTI,$US/bbl,19.04,09-17-2021 09:42:06 AM
152436,01-01-1996 12:00:00 AM,WTI,$US/bbl,18.7,09-17-2021 09:42:06 AM
152437,02-01-1996 12:00:00 AM,WTI,$US/bbl,18.78,09-17-2021 09:42:06 AM
152438,03-01-1996 12:00:00 AM,WTI,$US/bbl,21.18,09-17-2021 09:42:06 AM
152439,04-01-1996 12:00:00 AM,WTI,$US/bbl,23.3,09-17-2021 09:42:06 AM
152440,05-01-1996 12:00:00 AM,WTI,$US/bbl,21.09,09-17-2021 09:42:06 AM
152441,06-01-1996 12:00:00 AM,WTI,$US/bbl,20.43,09-17-2021 09:42:06 AM
152442,07-01-1996 12:00:00 AM,WTI,$US/bbl,21.25,09-17-2021 09:42:06 AM
152443,08-01-1996 12:00:00 AM,WTI,$US/bbl,21.91,09-17-2021 09:42:06 AM
152444,09-01-1996 12:00:00 AM,WTI,$US/bbl,23.93,09-17-2021 09:42:06 AM
152445,10-01-1996 12:00:00 AM,WTI,$US/bbl,24.9,09-17-2021 09:42:06 AM
152446,11-01-1996 12:00:00 AM,WTI,$US/bbl,23.55,09-17-2021 09:42:06 AM
152447,12-01-1996 12:00:00 AM,WTI,$US/bbl,25.12,09-17-2021 09:42:06 AM
152448,01-01-1997 12:00:00 AM,WTI,$US/bbl,25.18,09-17-2021 09:42:06 AM
152449,02-01-1997 12:00:00 AM,WTI,$US/bbl,22.17,09-17-2021 09:42:06 AM
152450,03-01-1997 12:00:00 AM,WTI,$US/bbl,20.97,09-17-2021 09:42:06 AM
152451,04-01-1997 12:00:00 AM,WTI,$US/bbl,19.73,09-17-2021 09:42:06 AM
152452,05-01-1997 12:00:00 AM,WTI,$US/bbl,20.87,09-17-2021 09:42:06 AM
152453,06-01-1997 12:00:00 AM,WTI,$US/bbl,19.22,09-17-2021 09:42:06 AM
152454,07-01-1997 12:00:00 AM,WTI,$US/bbl,19.66,09-17-2021 09:42:06 AM
152455,08-01-1997 12:00:00 AM,WTI,$US/bbl,19.95,09-17-2021 09:42:06 AM
152456,09-01-1997 12:00:00 AM,WTI,$US/bbl,19.78,09-17-2021 09:42:06 AM
152457,10-01-1997 12:00:00 AM,WTI,$US/bbl,21.28,09-17-2021 09:42:06 AM
152458,11-01-1997 12:00:00 AM,WTI,$US/bbl,20.22,09-17-2021 09:42:06 AM
152459,12-01-1997 12:00:00 AM,WTI,$US/bbl,18.32,09-17-2021 09:42:06 AM
152460,01-01-1998 12:00:00 AM,WTI,$US/bbl,16.73,09-17-2021 09:42:06 AM
152461,02-01-1998 12:00:00 AM,WTI,$US/bbl,16.08,09-17-2021 09:42:06 AM
152462,03-01-1998 12:00:00 AM,WTI,$US/bbl,15.04,09-17-2021 09:42:06 AM
152463,04-01-1998 12:00:00 AM,WTI,$US/bbl,15.46,09-17-2021 09:42:06 AM
152464,05-01-1998 12:00:00 AM,WTI,$US/bbl,14.93,09-17-2021 09:42:06 AM
152465,06-01-1998 12:00:00 AM,WTI,$US/bbl,13.67,09-17-2021 09:42:06 AM
152466,07-01-1998 12:00:00 AM,WTI,$US/bbl,14.09,09-17-2021 09:42:06 AM
152467,08-01-1998 12:00:00 AM,WTI,$US/bbl,13.38,09-17-2021 09:42:06 AM
152468,09-01-1998 12:00:00 AM,WTI,$US/bbl,14.97,09-17-2021 09:42:06 AM
152469,10-01-1998 12:00:00 AM,WTI,$US/bbl,14.42,09-17-2021 09:42:06 AM
152470,11-01-1998 12:00:00 AM,WTI,$US/bbl,13.04,09-17-2021 09:42:06 AM
152471,12-01-1998 12:00:00 AM,WTI,$US/bbl,11.31,09-17-2021 09:42:06 AM
152472,01-01-1999 12:00:00 AM,WTI,$US/bbl,12.49,09-17-2021 09:42:06 AM
152473,02-01-1999 12:00:00 AM,WTI,$US/bbl,12.02,09-17-2021 09:42:06 AM
152474,03-01-1999 12:00:00 AM,WTI,$US/bbl,14.68,09-17-2021 09:42:06 AM
152475,04-01-1999 12:00:00 AM,WTI,$US/bbl,17.3,09-17-2021 09:42:06 AM
152476,05-01-1999 12:00:00 AM,WTI,$US/bbl,17.77,09-17-2021 09:42:06 AM
152477,06-01-1999 12:00:00 AM,WTI,$US/bbl,17.92,09-17-2021 09:42:06 AM
152478,07-01-1999 12:00:00 AM,WTI,$US/bbl,20.1,09-17-2021 09:42:06 AM
152479,08-01-1999 12:00:00 AM,WTI,$US/bbl,21.28,09-17-2021 09:42:06 AM
152480,09-01-1999 12:00:00 AM,WTI,$US/bbl,23.79,09-17-2021 09:42:06 AM
152481,10-01-1999 12:00:00 AM,WTI,$US/bbl,22.67,09-17-2021 09:42:06 AM
152482,11-01-1999 12:00:00 AM,WTI,$US/bbl,24.77,09-17-2021 09:42:06 AM
152483,12-01-1999 12:00:00 AM,WTI,$US/bbl,26.09,09-17-2021 09:42:06 AM
152484,01-01-2000 12:00:00 AM,WTI,$US/bbl,27.01,09-17-2021 09:42:06 AM
152485,02-01-2000 12:00:00 AM,WTI,$US/bbl,29.3,09-17-2021 09:42:06 AM
152486,03-01-2000 12:00:00 AM,WTI,$US/bbl,29.89,09-17-2021 09:42:06 AM
152487,04-01-2000 12:00:00 AM,WTI,$US/bbl,25.54,09-17-2021 09:42:06 AM
152488,05-01-2000 12:00:00 AM,WTI,$US/bbl,28.81,09-17-2021 09:42:06 AM
152489,06-01-2000 12:00:00 AM,WTI,$US/bbl,31.53,09-17-2021 09:42:06 AM
152490,07-01-2000 12:00:00 AM,WTI,$US/bbl,29.72,09-17-2021 09:42:06 AM
152491,08-01-2000 12:00:00 AM,WTI,$US/bbl,31.14,09-17-2021 09:42:06 AM
152492,09-01-2000 12:00:00 AM,WTI,$US/bbl,33.87,09-17-2021 09:42:06 AM
152493,10-01-2000 12:00:00 AM,WTI,$US/bbl,32.93,09-17-2021 09:42:06 AM
152494,11-01-2000 12:00:00 AM,WTI,$US/bbl,34.26,09-17-2021 09:42:06 AM
152495,12-01-2000 12:00:00 AM,WTI,$US/bbl,28.4,09-17-2021 09:42:06 AM
152496,01-01-2001 12:00:00 AM,WTI,$US/bbl,29.26,09-17-2021 09:42:06 AM
152497,02-01-2001 12:00:00 AM,WTI,$US/bbl,29.64,09-17-2021 09:42:06 AM
152498,03-01-2001 12:00:00 AM,WTI,$US/bbl,27.27,09-17-2021 09:42:06 AM
152499,04-01-2001 12:00:00 AM,WTI,$US/bbl,27.62,09-17-2021 09:42:06 AM
152500,05-01-2001 12:00:00 AM,WTI,$US/bbl,28.68,09-17-2021 09:42:06 AM
152501,06-01-2001 12:00:00 AM,WTI,$US/bbl,27.59,09-17-2021 09:42:06 AM
152502,07-01-2001 12:00:00 AM,WTI,$US/bbl,26.47,09-17-2021 09:42:06 AM
152503,08-01-2001 12:00:00 AM,WTI,$US/bbl,27.31,09-17-2021 09:42:06 AM
152504,09-01-2001 12:00:00 AM,WTI,$US/bbl,25.69,09-17-2021 09:42:06 AM
152505,10-01-2001 12:00:00 AM,WTI,$US/bbl,22.21,09-17-2021 09:42:06 AM
152506,11-01-2001 12:00:00 AM,WTI,$US/bbl,19.67,09-17-2021 09:42:06 AM
152507,12-01-2001 12:00:00 AM,WTI,$US/bbl,19.4,09-17-2021 09:42:06 AM
152508,01-01-2002 12:00:00 AM,WTI,$US/bbl,19.73,09-17-2021 09:42:06 AM
152509,02-01-2002 12:00:00 AM,WTI,$US/bbl,20.76,09-17-2021 09:42:06 AM
152510,03-01-2002 12:00:00 AM,WTI,$US/bbl,24.44,09-17-2021 09:42:06 AM
152511,04-01-2002 12:00:00 AM,WTI,$US/bbl,26.26,09-17-2021 09:42:06 AM
152512,05-01-2002 12:00:00 AM,WTI,$US/bbl,26.95,09-17-2021 09:42:06 AM
152513,06-01-2002 12:00:00 AM,WTI,$US/bbl,25.55,09-17-2021 09:42:06 AM
152514,07-01-2002 12:00:00 AM,WTI,$US/bbl,26.94,09-17-2021 09:42:06 AM
152515,08-01-2002 12:00:00 AM,WTI,$US/bbl,28.2,09-17-2021 09:42:06 AM
152516,09-01-2002 12:00:00 AM,WTI,$US/bbl,29.67,09-17-2021 09:42:06 AM
152517,10-01-2002 12:00:00 AM,WTI,$US/bbl,28.86,09-17-2021 09:42:06 AM
