Id,When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
414416,2/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,15806,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414417,2/1/1947 12:00:00 AM,Trucks,0,0,4923,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414418,3/1/1947 12:00:00 AM,Passenger cars,0,0,12329,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414419,3/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,18237,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414420,3/1/1947 12:00:00 AM,Trucks,0,0,5908,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414421,4/1/1947 12:00:00 AM,Passenger cars,0,0,12299,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414422,4/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,19176,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414423,4/1/1947 12:00:00 AM,Trucks,0,0,6877,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414424,5/1/1947 12:00:00 AM,Passenger cars,0,0,12678,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414425,5/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,19105,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414426,5/1/1947 12:00:00 AM,Trucks,0,0,6427,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414427,6/1/1947 12:00:00 AM,Passenger cars,0,0,14992,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414428,6/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,20688,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414429,6/1/1947 12:00:00 AM,Trucks,0,0,5696,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414430,7/1/1947 12:00:00 AM,Passenger cars,0,0,14763,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414431,7/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,20696,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414432,7/1/1947 12:00:00 AM,Trucks,0,0,5933,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414433,8/1/1947 12:00:00 AM,Passenger cars,0,0,12038,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414434,8/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,17094,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414435,8/1/1947 12:00:00 AM,Trucks,0,0,5056,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414436,9/1/1947 12:00:00 AM,Passenger cars,0,0,16336,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414437,9/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,23491,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414438,9/1/1947 12:00:00 AM,Trucks,0,0,7155,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414439,10/1/1947 12:00:00 AM,Passenger cars,0,0,15365,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414440,10/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,23647,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414441,10/1/1947 12:00:00 AM,Trucks,0,0,8282,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414442,11/1/1947 12:00:00 AM,Passenger cars,0,0,15422,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414443,11/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,20690,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414444,11/1/1947 12:00:00 AM,Trucks,0,0,5268,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414445,12/1/1947 12:00:00 AM,Passenger cars,0,0,12925,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414446,12/1/1947 12:00:00 AM,"Total, new motor vehicles",0,0,17648,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414447,12/1/1947 12:00:00 AM,Trucks,0,0,4723,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414448,1/1/1948 12:00:00 AM,Passenger cars,0,0,9316,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414449,1/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,13704,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414450,1/1/1948 12:00:00 AM,Trucks,0,0,4388,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414451,2/1/1948 12:00:00 AM,Passenger cars,0,0,8103,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414452,2/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,13193,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414453,2/1/1948 12:00:00 AM,Trucks,0,0,5090,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414454,3/1/1948 12:00:00 AM,Passenger cars,0,0,13540,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414455,3/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,20974,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414456,3/1/1948 12:00:00 AM,Trucks,0,0,7434,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414457,4/1/1948 12:00:00 AM,Passenger cars,0,0,11725,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414458,4/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,19286,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414459,4/1/1948 12:00:00 AM,Trucks,0,0,7561,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414460,5/1/1948 12:00:00 AM,Passenger cars,0,0,10963,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414461,5/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,18751,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414462,5/1/1948 12:00:00 AM,Trucks,0,0,7788,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414463,6/1/1948 12:00:00 AM,Passenger cars,0,0,12855,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414464,6/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,21626,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414465,6/1/1948 12:00:00 AM,Trucks,0,0,8771,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414466,7/1/1948 12:00:00 AM,Passenger cars,0,0,10296,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414467,7/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,16164,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414468,7/1/1948 12:00:00 AM,Trucks,0,0,5868,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414469,8/1/1948 12:00:00 AM,Passenger cars,0,0,9656,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414470,8/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,13676,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414471,8/1/1948 12:00:00 AM,Trucks,0,0,4020,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414472,9/1/1948 12:00:00 AM,Passenger cars,0,0,13278,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414473,9/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,19007,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414474,9/1/1948 12:00:00 AM,Trucks,0,0,5729,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414475,10/1/1948 12:00:00 AM,Passenger cars,0,0,15060,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414476,10/1/1948 12:00:00 AM,"Total, new motor vehicles",0,0,21110,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414477,10/1/1948 12:00:00 AM,Trucks,0,0,6050,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
414478,11/1/1948 12:00:00 AM,Passenger cars,0,0,15628,0,0,0,0,0,0,0,0,9/15/2021 8:50:47 AM
