ID,When,Type,Alberta,ModifiedDate
97572,07-01-2008 12:00:00 AM,Non-Conventional Oil,6236885.7,09-30-2021 11:18:17 AM
97573,08-01-2008 12:00:00 AM,Conventional Oil,2538445.1,09-30-2021 11:18:17 AM
97574,08-01-2008 12:00:00 AM,Non-Conventional Oil,6355391.7,09-30-2021 11:18:17 AM
97575,08-01-2008 12:00:00 AM,Natural Gas,10860352600,09-30-2021 11:18:17 AM
97576,09-01-2008 12:00:00 AM,Non-Conventional Oil,5779555.8,09-30-2021 11:18:17 AM
97577,09-01-2008 12:00:00 AM,Conventional Oil,2458040.1,09-30-2021 11:18:17 AM
97578,09-01-2008 12:00:00 AM,Natural Gas,10401685700,09-30-2021 11:18:17 AM
97579,10-01-2008 12:00:00 AM,Non-Conventional Oil,6021170.7,09-30-2021 11:18:17 AM
97580,10-01-2008 12:00:00 AM,Conventional Oil,2555471.9,09-30-2021 11:18:17 AM
97581,10-01-2008 12:00:00 AM,Natural Gas,10722789700,09-30-2021 11:18:17 AM
97582,11-01-2008 12:00:00 AM,Non-Conventional Oil,6144194.3,09-30-2021 11:18:17 AM
97583,11-01-2008 12:00:00 AM,Natural Gas,10375347200,09-30-2021 11:18:17 AM
97584,11-01-2008 12:00:00 AM,Conventional Oil,2463236.5,09-30-2021 11:18:17 AM
97585,12-01-2008 12:00:00 AM,Non-Conventional Oil,6259388.5,09-30-2021 11:18:17 AM
97586,12-01-2008 12:00:00 AM,Conventional Oil,2462488.3,09-30-2021 11:18:17 AM
97587,12-01-2008 12:00:00 AM,Natural Gas,10337836500,09-30-2021 11:18:17 AM
97588,01-01-2009 12:00:00 AM,Natural Gas,10364157300,09-30-2021 11:18:17 AM
97589,01-01-2009 12:00:00 AM,Conventional Oil,2427019.1,09-30-2021 11:18:17 AM
97590,01-01-2009 12:00:00 AM,Non-Conventional Oil,6188192.4,09-30-2021 11:18:17 AM
97591,02-01-2009 12:00:00 AM,Natural Gas,9572810600,09-30-2021 11:18:17 AM
97592,02-01-2009 12:00:00 AM,Conventional Oil,2222681.9,09-30-2021 11:18:17 AM
97593,02-01-2009 12:00:00 AM,Non-Conventional Oil,5899431.6,09-30-2021 11:18:17 AM
97594,03-01-2009 12:00:00 AM,Non-Conventional Oil,6214096,09-30-2021 11:18:17 AM
97595,03-01-2009 12:00:00 AM,Natural Gas,10485242000,09-30-2021 11:18:17 AM
97596,03-01-2009 12:00:00 AM,Conventional Oil,2413559.6,09-30-2021 11:18:17 AM
97597,04-01-2009 12:00:00 AM,Conventional Oil,2311917.8,09-30-2021 11:18:17 AM
97598,04-01-2009 12:00:00 AM,Natural Gas,10344389600,09-30-2021 11:18:17 AM
97599,04-01-2009 12:00:00 AM,Non-Conventional Oil,5631426.8,09-30-2021 11:18:17 AM
97600,05-01-2009 12:00:00 AM,Conventional Oil,2299602.8,09-30-2021 11:18:17 AM
97601,05-01-2009 12:00:00 AM,Non-Conventional Oil,6180852.7,09-30-2021 11:18:17 AM
97602,05-01-2009 12:00:00 AM,Natural Gas,10300282300,09-30-2021 11:18:17 AM
97603,06-01-2009 12:00:00 AM,Non-Conventional Oil,6488880.3,09-30-2021 11:18:17 AM
97604,06-01-2009 12:00:00 AM,Conventional Oil,2219622,09-30-2021 11:18:17 AM
97605,06-01-2009 12:00:00 AM,Natural Gas,9932244200,09-30-2021 11:18:17 AM
97606,07-01-2009 12:00:00 AM,Conventional Oil,2308707.2,09-30-2021 11:18:17 AM
97607,07-01-2009 12:00:00 AM,Non-Conventional Oil,7067458,09-30-2021 11:18:17 AM
97608,07-01-2009 12:00:00 AM,Natural Gas,10157096800,09-30-2021 11:18:17 AM
97609,08-01-2009 12:00:00 AM,Natural Gas,9984667000,09-30-2021 11:18:17 AM
97610,08-01-2009 12:00:00 AM,Non-Conventional Oil,6849020.5,09-30-2021 11:18:17 AM
97611,08-01-2009 12:00:00 AM,Conventional Oil,2319714.9,09-30-2021 11:18:17 AM
97612,09-01-2009 12:00:00 AM,Non-Conventional Oil,6414893.1,09-30-2021 11:18:17 AM
97613,09-01-2009 12:00:00 AM,Natural Gas,9118634900,09-30-2021 11:18:17 AM
97614,09-01-2009 12:00:00 AM,Conventional Oil,2212676,09-30-2021 11:18:17 AM
97615,10-01-2009 12:00:00 AM,Non-Conventional Oil,6952096.3,09-30-2021 11:18:17 AM
97616,10-01-2009 12:00:00 AM,Conventional Oil,2284811.5,09-30-2021 11:18:17 AM
97617,10-01-2009 12:00:00 AM,Natural Gas,9485261800,09-30-2021 11:18:17 AM
97618,11-01-2009 12:00:00 AM,Natural Gas,9442642900,09-30-2021 11:18:17 AM
97619,11-01-2009 12:00:00 AM,Non-Conventional Oil,7005668.5,09-30-2021 11:18:17 AM
97620,11-01-2009 12:00:00 AM,Conventional Oil,2252494.5,09-30-2021 11:18:17 AM
97621,12-01-2009 12:00:00 AM,Non-Conventional Oil,6560493.1,09-30-2021 11:18:17 AM
97622,12-01-2009 12:00:00 AM,Natural Gas,9404811000,09-30-2021 11:18:17 AM
97623,12-01-2009 12:00:00 AM,Conventional Oil,2259351.5,09-30-2021 11:18:17 AM
